freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,LV	199768 	199162 	255868 	269276 	312097 	334134 	384114 	360616 	321711 	335072 	275654 	298935 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,MK	106725 	93669 	108683 	125898 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,MT	235440 	243219 	320492 	398169 	432388 	431704 	484380 	481297 	449545 	417048 	301220 	292944 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,NL	2635748 	2604524 	2967966 	3061247 	3529600 	3463782 	3424460 	3865212 	3517329 	3465134 	2898467 	2766149 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,NO	1726001 	1850855 	2083576 	2192844 	2359159 	2436900 	2606676 	2557452 	2446578 	2493015 	2079987 	1900071 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,PL	1658453 	1768676 	1997373 	2081142 	2644910 	2910349 	3182355 	3129496 	2956157 	2678198 	1984490 	2067960 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,PT	1919746 	2237914 	2697948 	3061224 	3314039 	3403408 	3734860 	3632486 	3470200 	3231193 	2292900 	2435497 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,RO	781190 	777410 	938743 	974930 	1102926 	1169762 	1354601 	1313493 	1184970 	1123905 	936685 	1003290 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,RS	281260 	250193 	302618 	315586 	383265 	401733 	493033 	472625 	441765 	392720 	302038 	319764 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,SE	1128849 	1108921 	1304772 	1404937 	1611583 	1560542 	1673285 	1705085 	1567883 	1507503 	1252907 	1156322 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,SI	37188 	43166 	50631 	55231 	69932 	73804 	81397 	83472 	78876 	61522 	45540 	42389 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,SK	50818 	50954 	63672 	77194 	84610 	151148 	229175 	226553 	165231 	90140 	69905 	79063 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,AT	1132791 	1167032 	1360276 	1424130 	1558799 	1664188 	1858366 	1821286 	1661157 	1612958 	1185182 	1366749 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,BE	1004421 	1137985 	1265609 	1481323 	1548038 	1581228 	1921041 	1619432 	1546106 	1550850 	1205466 	1377136 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,BG	333675 	299044 	355687 	380789 	420653 	555739 	702436 	812995 	658418 	443036 	336468 	335065 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,CH	1767881 	2020882 	2323802 	2435570 	2476156 	2511897 	2989585 	2667169 	2622830 	2620593 	1848275 	2278384 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,CY	267297 	247698 	325633 	474578 	561937 	653831 	749646 	825356 	709428 	694781 	403610 	336432 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,CZ	453664 	490027 	602706 	638459 	724822 	964120 	1068168 	1038876 	914699 	763641 	576980 	686180 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,DE	5865829 	6192182 	7741041 	8556194 	9894801 	9890345 	11088535 	10574987 	10406118 	10445698 	7249025 	7635308 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,DK	1001896 	1096957 	1334286 	1423608 	1660863 	1778105 	1963508 	1704580 	1754102 	1668529 	1261814 	1316966 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,EE	110580 	103216 	115722 	152933 	161155 	163858 	163698 	179971 	175510 	165981 	123611 	127415 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,EL	1245540 	1212520 	1483850 	2265093 	3758003 	5753403 	6147859 	6289633 	5358700 	4143955 	1796547 	1572554 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,ES	9440161 	9451607 	11272558 	12673962 	13947002 	14676246 	15795603 	16215020 	14621255 	14256887 	11038980 	10594995 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,FI	758220 	757190 	841013 	741323 	792738 	873866 	840848 	843735 	841889 	844623 	779319 	974158 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,FR	6051307 	6350986 	6968200 	8343656 	8608290 	8975054 	10136534 	9604949 	8479307 	8740339 	6421099 	7461283 
